master_cpd_id,r2,cpd_name
52430,0.08825536237025482,cerulenin
52928,0.08795417468397163,erlotinib
24173,0.0872925545965694,phloretin
411809,0.08685312059069257,pevonedistat
411733,0.08577785664224855,neuronal differentiation inducer III
677522,0.08482748458298832,necrosulfonamide
660075,0.08316705204909484,PF-573228
18311,0.08191473358299009,Bax channel blocker
17712,0.0817256378894919,ML006
688799,0.07873198142730012,skepinone-L
639390,0.07832598085036926,AZD6482
411717,0.07815117449820519,L-685458
404452,0.07656463448824273,BRD-K41597374
375564,0.07512069201593438,TPCA-1
640011,0.07468722490622093,quizartinib
667933,0.07400823867970467,methylstat
348633,0.07197247871100784,BRD-K61166597
411742,0.07154838082618471,PI-103
411739,0.0699613897582381,zebularine
628622,0.06868814701014532,MGCD-265
606356,0.06689711046809924,TGX-221
688229,0.06655643729170924,AT13387
705300,0.066524883013991,linsitinib
710154,0.06608413978124691,AT-406
687769,0.06473063925626218,BRD-A86708339
418166,0.06470569122296496,daporinad
62111,0.0643266148765798,compound 1B
411869,0.06311817638881789,oligomycin A
660796,0.06269962375687224,3-Cl-AHPC
580922,0.06191397939265144,NSC19630
660325,0.061380086361452646,AZD4547
58472,0.05779715037617659,PDMP
345041,0.05687218643874803,imatinib
649420,0.05550749021742592,PLX-4032
688888,0.05506567958065127,BRD-K34222889
687735,0.05457966534411811,GSK-J4
53556,0.05393537668388275,BRD-K94991378
411720,0.053508225546269175,triptolide
411831,0.05310591817284047,RG-108
267119,0.053038996054740516,CID-5951923
639759,0.0529691344441809,GDC-0941
417098,0.05294070989212505,pandacostat
375354,0.05290753197143416,LE-135
594665,0.05161248245357959,UNC0638
595102,0.0501472893453865,cucurbitacin I
12877,0.050068013000399314,BRD6340
411714,0.04974543541834116,brefeldin A
55307,0.046493824748903026,IC-87114
119769,0.04499771466875526,BRD-K92856060
660819,0.04432436790409233,KHS101
660346,0.043742348500316844,bosutinib
606256,0.04295081249785047,PLX-4720
616355,0.040513964348523016,BRD-K51490254
349002,0.03880951202632599,vandetanib
594664,0.03620737581097973,isoevodiamine
444779,0.03591544179895807,BRD-K55116708
687577,0.035665363854450495,RO4929097
63349,0.03425619801119197,itraconazole
660322,0.03393688122924341,fluvastatin
609061,0.03381986204358638,CIL55A
23151,0.03357861842074774,tretinoin
660317,0.033374491943148274,SR1001
44511,0.032954269869999143,pyrazolanthrone
606138,0.032687318491707675,canertinib
32372,0.03126142809214163,valdecoxib
52123,0.03090178431824393,SB-225002
28784,0.030264549853850253,ciclopirox
660086,0.02953198622989135,leptomycin B
606135,0.029439846813020677,afatinib
63578,0.029409403417123326,erastin
660230,0.02880229397856495,BRD-K35604418
640007,0.028566205785971355,PHA-793887
50747,0.028183643888118247,pifithrin-alpha
665914,0.028154021431850352,COL-3
657183,0.02811897614942398,spautin-1
668495,0.0279973627870721,BYL-719
679843,0.027509476789680166,HBX-41108
442141,0.026905536842364762,BRD-K02251932
345712,0.026709191035118707,O-6-benzylguanine
58566,0.026642360798682586,BRD-K71935468
688975,0.026605228148075578,avicin D
39782,0.026440314279674016,piperlongumine
411833,0.026355221140549133,pluripotin
660135,0.025750412310692194,BRD-K97651142
639450,0.02487275308065511,ruxolitinib
418167,0.023685661474145192,MK-1775
25036,0.023312494196899847,gossypol
659682,0.02122517264820767,ML320
606143,0.020463259060734585,masitinib
44503,0.02011809464389207,NSC23766
660364,0.01952014383763423,docetaxel
660332,0.018601723150772576,MK-0752
661032,0.018340885287582022,sotrastaurin
660245,0.017243620280755368,GSK525762A
628613,0.017160813103029103,regorafenib
